id,anger,fear,joy,sadness,surprise
eng_test_track1_001,0,0,0,0,1
eng_test_track1_002,1,1,0,0,0
eng_test_track1_003,1,1,0,1,0
eng_test_track1_004,0,1,0,1,1
eng_test_track1_005,1,1,0,1,0
eng_test_track1_006,0,1,0,1,0
eng_test_track1_007,0,1,0,1,0
eng_test_track1_008,0,0,1,0,0
eng_test_track1_009,0,1,0,0,1
eng_test_track1_010,0,1,0,1,0
eng_test_track1_011,0,0,1,0,0
eng_test_track1_012,0,0,0,1,0
eng_test_track1_013,0,1,0,1,0
eng_test_track1_014,1,0,0,0,0
eng_test_track1_015,0,1,0,1,1
eng_test_track1_016,0,1,0,1,0
eng_test_track1_017,0,1,0,1,1
eng_test_track1_018,0,0,0,0,0
eng_test_track1_019,1,1,0,1,0
eng_test_track1_020,0,1,0,1,0
eng_test_track1_021,0,1,0,1,0
eng_test_track1_022,0,1,0,0,0
eng_test_track1_023,0,0,0,1,0
eng_test_track1_024,0,1,0,1,0
eng_test_track1_025,0,1,0,1,0
eng_test_track1_026,0,0,0,0,0
eng_test_track1_027,0,1,0,1,1
eng_test_track1_028,0,0,1,0,1
eng_test_track1_029,0,1,0,0,1
eng_test_track1_030,1,1,0,1,0
eng_test_track1_031,1,1,0,0,0
eng_test_track1_032,0,1,0,0,1
eng_test_track1_033,0,0,1,0,1
eng_test_track1_034,0,1,0,1,0
eng_test_track1_035,0,1,0,1,0
eng_test_track1_036,0,0,1,0,0
eng_test_track1_037,0,1,0,1,0
eng_test_track1_038,0,1,0,1,1
eng_test_track1_039,0,0,0,0,1
eng_test_track1_040,0,0,0,0,0
eng_test_track1_041,0,1,0,0,1
eng_test_track1_042,0,0,0,0,0
eng_test_track1_043,0,1,0,1,0
eng_test_track1_044,0,1,0,0,0
eng_test_track1_045,0,0,0,0,1
eng_test_track1_046,0,0,1,0,0
eng_test_track1_047,1,0,0,0,0
eng_test_track1_048,0,0,0,0,1
eng_test_track1_049,0,0,1,0,1
eng_test_track1_050,1,1,0,1,0
eng_test_track1_051,0,1,0,0,0
eng_test_track1_052,0,0,0,0,0
eng_test_track1_053,0,1,0,0,1
eng_test_track1_054,0,0,1,0,0
eng_test_track1_055,0,1,0,1,0
eng_test_track1_056,0,0,1,0,1
eng_test_track1_057,0,0,1,0,0
eng_test_track1_058,0,0,0,1,0
eng_test_track1_059,0,1,0,0,0
eng_test_track1_060,0,0,1,0,0
eng_test_track1_061,0,0,1,0,1
eng_test_track1_062,0,0,1,0,0
eng_test_track1_063,0,1,0,0,0
eng_test_track1_064,0,1,0,1,1
eng_test_track1_065,1,0,0,0,0
eng_test_track1_066,0,1,0,1,0
eng_test_track1_067,0,0,1,0,0
eng_test_track1_068,0,1,0,1,0
eng_test_track1_069,1,1,0,0,0
eng_test_track1_070,0,0,1,0,1
eng_test_track1_071,1,1,0,1,0
eng_test_track1_072,0,0,0,1,0
eng_test_track1_073,0,1,0,0,1
eng_test_track1_074,0,0,1,0,0
eng_test_track1_075,0,1,1,0,1
eng_test_track1_076,0,0,1,0,0
eng_test_track1_077,0,0,1,0,0
eng_test_track1_078,0,0,1,0,1
eng_test_track1_079,0,0,1,0,0
eng_test_track1_080,0,1,1,0,0
eng_test_track1_081,0,0,1,0,0
eng_test_track1_082,0,1,0,0,0
eng_test_track1_083,0,1,0,1,0
eng_test_track1_084,0,0,1,0,0
eng_test_track1_085,0,1,0,1,0
eng_test_track1_086,0,0,0,0,0
eng_test_track1_087,0,0,1,0,1
eng_test_track1_088,0,0,1,0,0
eng_test_track1_089,0,1,0,1,0
eng_test_track1_090,0,1,0,1,1
eng_test_track1_091,0,0,0,0,0
eng_test_track1_092,0,0,0,0,1
eng_test_track1_093,0,1,0,0,1
eng_test_track1_094,1,1,0,0,1
eng_test_track1_095,0,0,1,0,0
eng_test_track1_096,0,1,0,1,0
eng_test_track1_097,0,1,0,0,0
eng_test_track1_098,0,1,0,1,0
eng_test_track1_099,0,0,1,0,0
eng_test_track1_100,0,0,0,1,0
eng_test_track1_101,0,1,0,1,0
eng_test_track1_102,0,1,0,0,1
eng_test_track1_103,0,1,0,1,0
eng_test_track1_104,1,1,0,0,0
eng_test_track1_105,0,0,0,1,0
eng_test_track1_106,0,0,0,0,0
eng_test_track1_107,0,1,0,1,0
eng_test_track1_108,0,1,0,0,1
eng_test_track1_109,0,1,0,0,1
eng_test_track1_110,0,1,0,0,0
eng_test_track1_111,1,1,0,0,1
eng_test_track1_112,0,0,0,1,0
eng_test_track1_113,0,0,0,0,0
eng_test_track1_114,0,0,0,0,0
eng_test_track1_115,0,1,0,1,0
eng_test_track1_116,0,0,0,0,0
eng_test_track1_117,0,1,0,0,1
eng_test_track1_118,0,1,0,1,0
eng_test_track1_119,0,0,0,0,0
eng_test_track1_120,1,1,0,0,0
eng_test_track1_121,0,1,0,1,0
eng_test_track1_122,0,0,0,0,1
eng_test_track1_123,0,0,0,0,0
eng_test_track1_124,0,1,0,0,1
eng_test_track1_125,0,0,0,1,0
eng_test_track1_126,0,0,0,0,1
eng_test_track1_127,0,0,0,0,0
eng_test_track1_128,0,1,0,1,1
eng_test_track1_129,1,0,0,0,0
eng_test_track1_130,0,1,0,1,0
eng_test_track1_131,0,1,0,1,0
eng_test_track1_132,0,0,1,0,0
eng_test_track1_133,0,1,1,1,1
eng_test_track1_134,0,1,0,0,0
eng_test_track1_135,1,1,0,1,0
eng_test_track1_136,1,0,0,0,1
eng_test_track1_137,0,1,0,1,0
eng_test_track1_138,0,0,1,0,0
eng_test_track1_139,0,0,1,0,1
eng_test_track1_140,0,0,1,0,0
eng_test_track1_141,0,0,1,0,0
eng_test_track1_142,0,1,0,0,1
eng_test_track1_143,0,0,1,0,1
eng_test_track1_144,0,0,1,0,0
eng_test_track1_145,0,0,1,0,0
eng_test_track1_146,0,1,0,0,0
eng_test_track1_147,0,1,0,1,0
eng_test_track1_148,0,0,1,0,0
eng_test_track1_149,0,0,0,0,0
eng_test_track1_150,0,0,0,0,0
eng_test_track1_151,0,1,0,0,1
eng_test_track1_152,0,1,1,0,0
eng_test_track1_153,0,1,0,0,1
eng_test_track1_154,0,0,0,0,0
eng_test_track1_155,1,1,0,1,0
eng_test_track1_156,0,1,0,0,1
eng_test_track1_157,0,1,0,1,0
eng_test_track1_158,0,1,0,1,0
eng_test_track1_159,0,0,0,0,0
eng_test_track1_160,0,1,0,0,0
eng_test_track1_161,0,1,0,1,0
eng_test_track1_162,1,1,0,1,1
eng_test_track1_163,0,1,0,1,1
eng_test_track1_164,0,0,0,1,0
eng_test_track1_165,0,0,0,0,1
eng_test_track1_166,1,1,1,1,1
eng_test_track1_167,0,1,0,1,0
eng_test_track1_168,0,0,0,0,0
eng_test_track1_169,0,1,0,0,0
eng_test_track1_170,1,1,0,1,0
eng_test_track1_171,0,0,0,0,0
eng_test_track1_172,0,0,0,0,0
eng_test_track1_173,0,0,0,1,0
eng_test_track1_174,0,1,0,1,1
eng_test_track1_175,0,1,0,0,0
eng_test_track1_176,0,1,0,1,0
eng_test_track1_177,0,1,0,1,0
eng_test_track1_178,0,1,0,0,0
eng_test_track1_179,0,0,0,0,0
eng_test_track1_180,0,0,1,0,0
eng_test_track1_181,0,1,0,0,0
eng_test_track1_182,0,0,0,1,0
eng_test_track1_183,0,1,0,1,0
eng_test_track1_184,1,1,0,0,0
eng_test_track1_185,1,1,0,1,0
eng_test_track1_186,0,1,0,1,0
eng_test_track1_187,0,1,0,0,1
eng_test_track1_188,0,0,0,0,1
eng_test_track1_189,0,1,0,0,1
eng_test_track1_190,0,0,1,0,0
eng_test_track1_191,1,1,0,1,0
eng_test_track1_192,0,1,0,1,0
eng_test_track1_193,0,1,0,1,1
eng_test_track1_194,0,1,0,1,0
eng_test_track1_195,1,1,0,1,0
eng_test_track1_196,0,0,1,0,0
eng_test_track1_197,0,0,0,1,0
eng_test_track1_198,0,1,0,1,0
eng_test_track1_199,1,0,0,0,0
eng_test_track1_200,0,1,0,1,0
eng_test_track1_201,0,1,0,0,1
eng_test_track1_202,1,0,0,0,0
eng_test_track1_203,0,1,0,1,0
eng_test_track1_204,0,1,0,0,0
eng_test_track1_205,0,1,0,0,1
eng_test_track1_206,0,0,0,0,0
eng_test_track1_207,1,1,0,1,1
eng_test_track1_208,0,0,1,0,0
eng_test_track1_209,0,1,0,0,1
eng_test_track1_210,0,1,0,0,1
eng_test_track1_211,0,0,1,0,0
eng_test_track1_212,0,0,1,0,0
eng_test_track1_213,0,0,0,1,0
eng_test_track1_214,0,0,0,0,0
eng_test_track1_215,0,1,0,1,1
eng_test_track1_216,0,0,0,0,1
eng_test_track1_217,0,0,1,0,0
eng_test_track1_218,0,1,0,1,0
eng_test_track1_219,1,1,0,1,1
eng_test_track1_220,0,0,1,0,1
eng_test_track1_221,0,0,1,0,0
eng_test_track1_222,0,0,0,0,0
eng_test_track1_223,0,0,1,0,0
eng_test_track1_224,1,1,0,0,1
eng_test_track1_225,0,0,1,0,0
eng_test_track1_226,0,1,1,0,0
eng_test_track1_227,0,1,1,0,1
eng_test_track1_228,0,1,0,1,1
eng_test_track1_229,1,0,0,0,0
eng_test_track1_230,0,0,0,0,0
eng_test_track1_231,0,0,1,0,0
eng_test_track1_232,0,1,0,0,0
eng_test_track1_233,0,1,0,0,1
eng_test_track1_234,0,0,0,0,1
eng_test_track1_235,0,0,0,0,0
eng_test_track1_236,0,0,1,0,1
eng_test_track1_237,0,1,0,1,0
eng_test_track1_238,0,1,0,1,1
eng_test_track1_239,0,0,1,0,0
eng_test_track1_240,0,1,0,1,0
eng_test_track1_241,0,0,0,0,0
eng_test_track1_242,0,1,0,0,0
eng_test_track1_243,0,1,0,0,0
eng_test_track1_244,0,0,0,0,1
eng_test_track1_245,0,1,0,1,0
eng_test_track1_246,1,0,0,0,0
eng_test_track1_247,0,0,1,0,0
eng_test_track1_248,0,1,0,0,1
eng_test_track1_249,0,0,1,0,0
eng_test_track1_250,0,0,0,1,0
eng_test_track1_251,0,1,0,1,0
eng_test_track1_252,0,0,0,1,0
eng_test_track1_253,0,1,0,0,0
eng_test_track1_254,0,1,0,1,0
eng_test_track1_255,0,0,0,0,1
eng_test_track1_256,0,0,1,0,0
eng_test_track1_257,0,0,1,0,0
eng_test_track1_258,0,0,1,0,0
eng_test_track1_259,0,0,1,0,0
eng_test_track1_260,0,1,0,0,0
eng_test_track1_261,1,1,0,1,0
eng_test_track1_262,0,0,1,0,0
eng_test_track1_263,0,1,0,1,0
eng_test_track1_264,0,0,1,0,0
eng_test_track1_265,0,1,0,0,0
eng_test_track1_266,0,0,1,0,0
eng_test_track1_267,0,0,1,0,0
eng_test_track1_268,0,0,0,0,0
eng_test_track1_269,0,1,0,1,0
eng_test_track1_270,0,1,1,1,0
eng_test_track1_271,0,1,0,1,1
eng_test_track1_272,0,0,1,0,0
eng_test_track1_273,0,1,0,1,0
eng_test_track1_274,0,0,1,0,0
eng_test_track1_275,0,0,1,0,0
eng_test_track1_276,0,0,1,0,1
eng_test_track1_277,0,1,0,0,0
eng_test_track1_278,0,1,0,0,1
eng_test_track1_279,1,0,0,1,1
eng_test_track1_280,0,1,0,0,1
eng_test_track1_281,0,0,0,1,0
eng_test_track1_282,1,0,0,1,0
eng_test_track1_283,0,1,0,0,0
eng_test_track1_284,0,0,1,0,0
eng_test_track1_285,0,1,0,1,0
eng_test_track1_286,1,0,0,0,0
eng_test_track1_287,0,0,0,0,0
eng_test_track1_288,0,1,0,0,1
eng_test_track1_289,0,0,1,0,0
eng_test_track1_290,1,1,0,1,0
eng_test_track1_291,0,1,0,0,0
eng_test_track1_292,1,1,0,1,1
eng_test_track1_293,0,1,0,1,0
eng_test_track1_294,0,0,0,1,1
eng_test_track1_295,1,0,0,0,0
eng_test_track1_296,0,1,0,0,1
eng_test_track1_297,0,0,1,0,0
eng_test_track1_298,0,0,1,0,0
eng_test_track1_299,0,1,0,1,0
eng_test_track1_300,1,1,0,0,1
eng_test_track1_301,0,0,1,0,1
eng_test_track1_302,1,1,0,0,0
eng_test_track1_303,0,1,0,1,1
eng_test_track1_304,0,1,1,0,1
eng_test_track1_305,0,1,0,0,0
eng_test_track1_306,0,1,0,1,0
eng_test_track1_307,0,0,1,0,0
eng_test_track1_308,1,0,0,1,1
eng_test_track1_309,0,0,1,0,0
eng_test_track1_310,0,1,0,0,0
eng_test_track1_311,0,0,0,0,0
eng_test_track1_312,0,1,0,0,0
eng_test_track1_313,1,1,0,1,0
eng_test_track1_314,0,0,1,0,0
eng_test_track1_315,0,1,1,1,0
eng_test_track1_316,0,1,0,0,1
eng_test_track1_317,0,1,0,0,0
eng_test_track1_318,0,1,0,1,0
eng_test_track1_319,0,1,0,1,0
eng_test_track1_320,0,1,0,0,1
eng_test_track1_321,0,0,0,0,1
eng_test_track1_322,0,1,0,1,0
eng_test_track1_323,0,1,0,0,0
eng_test_track1_324,0,0,1,0,0
eng_test_track1_325,0,0,1,0,0
eng_test_track1_326,0,0,0,0,0
eng_test_track1_327,0,0,0,1,1
eng_test_track1_328,0,0,1,0,0
eng_test_track1_329,0,0,0,1,0
eng_test_track1_330,0,0,1,0,0
eng_test_track1_331,0,1,0,1,0
eng_test_track1_332,0,1,0,1,0
eng_test_track1_333,0,1,0,1,0
eng_test_track1_334,0,0,1,0,0
eng_test_track1_335,0,0,0,0,0
eng_test_track1_336,0,1,0,0,0
eng_test_track1_337,1,0,0,0,0
eng_test_track1_338,0,0,1,0,0
eng_test_track1_339,0,0,0,0,0
eng_test_track1_340,0,0,1,0,0
eng_test_track1_341,0,1,0,0,0
eng_test_track1_342,1,0,0,0,0
eng_test_track1_343,0,1,0,1,0
eng_test_track1_344,0,1,0,0,1
eng_test_track1_345,0,1,0,0,0
eng_test_track1_346,0,1,0,1,0
eng_test_track1_347,0,1,0,1,0
eng_test_track1_348,0,1,1,0,0
eng_test_track1_349,0,0,1,0,1
eng_test_track1_350,0,0,1,0,1
eng_test_track1_351,0,0,1,0,1
eng_test_track1_352,0,0,0,1,0
eng_test_track1_353,0,1,0,0,0
eng_test_track1_354,0,1,0,0,1
eng_test_track1_355,0,0,0,1,0
eng_test_track1_356,0,1,0,1,0
eng_test_track1_357,0,1,0,0,0
eng_test_track1_358,0,1,0,1,0
eng_test_track1_359,0,1,0,0,0
eng_test_track1_360,1,0,0,0,0
eng_test_track1_361,0,1,0,1,0
eng_test_track1_362,0,0,1,0,0
eng_test_track1_363,1,0,0,0,0
eng_test_track1_364,0,0,1,0,0
eng_test_track1_365,0,0,1,0,1
eng_test_track1_366,0,1,0,0,0
eng_test_track1_367,0,1,0,0,1
eng_test_track1_368,0,1,0,0,1
eng_test_track1_369,0,1,0,0,1
eng_test_track1_370,0,0,0,0,1
eng_test_track1_371,0,1,0,0,1
eng_test_track1_372,0,1,0,0,0
eng_test_track1_373,0,0,0,0,0
eng_test_track1_374,0,0,1,0,0
eng_test_track1_375,0,0,1,0,0
eng_test_track1_376,0,0,1,0,0
eng_test_track1_377,0,1,0,1,0
eng_test_track1_378,0,0,1,0,0
eng_test_track1_379,0,0,0,0,0
eng_test_track1_380,0,1,0,0,1
eng_test_track1_381,0,1,0,0,0
eng_test_track1_382,1,0,0,0,0
eng_test_track1_383,0,1,0,1,0
eng_test_track1_384,0,1,0,0,1
eng_test_track1_385,0,1,1,0,1
eng_test_track1_386,0,0,1,0,0
eng_test_track1_387,0,0,0,0,0
eng_test_track1_388,0,1,0,1,0
eng_test_track1_389,0,1,0,1,0
eng_test_track1_390,0,0,0,0,1
eng_test_track1_391,0,1,0,1,0
eng_test_track1_392,0,0,0,0,1
eng_test_track1_393,0,1,0,1,0
eng_test_track1_394,0,0,0,0,0
eng_test_track1_395,0,1,0,1,0
eng_test_track1_396,0,1,0,1,0
eng_test_track1_397,0,0,1,0,0
eng_test_track1_398,0,0,1,0,1
eng_test_track1_399,0,1,0,1,0
eng_test_track1_400,0,1,0,0,0
eng_test_track1_401,0,0,0,0,0
eng_test_track1_402,0,0,1,0,0
eng_test_track1_403,0,0,0,1,0
eng_test_track1_404,0,0,0,0,0
eng_test_track1_405,0,0,0,0,0
eng_test_track1_406,0,1,0,1,0
eng_test_track1_407,0,0,1,0,1
eng_test_track1_408,0,1,0,1,0
eng_test_track1_409,0,0,1,0,0
eng_test_track1_410,0,1,0,0,1
eng_test_track1_411,0,0,1,0,1
eng_test_track1_412,0,0,1,0,0
eng_test_track1_413,0,1,0,1,1
eng_test_track1_414,0,0,1,0,1
eng_test_track1_415,0,0,0,0,0
eng_test_track1_416,0,0,0,0,0
eng_test_track1_417,1,0,0,0,0
eng_test_track1_418,0,1,0,0,0
eng_test_track1_419,0,0,0,1,1
eng_test_track1_420,0,0,1,1,0
eng_test_track1_421,0,1,0,0,1
eng_test_track1_422,0,0,1,0,0
eng_test_track1_423,0,0,1,0,0
eng_test_track1_424,0,1,0,0,0
eng_test_track1_425,0,1,0,0,0
eng_test_track1_426,0,1,1,0,0
eng_test_track1_427,0,1,0,0,1
eng_test_track1_428,1,1,0,1,0
eng_test_track1_429,0,0,1,0,0
eng_test_track1_430,0,0,0,1,0
eng_test_track1_431,0,0,0,0,0
eng_test_track1_432,0,1,0,1,0
eng_test_track1_433,0,1,0,0,1
eng_test_track1_434,0,1,0,1,0
