id,anger,disgust,fear,joy,sadness,surprise
amh_test_track_b_00001,0,3,0,0,0,0
amh_test_track_b_00002,0,0,0,2,0,0
amh_test_track_b_00003,2,1,0,0,0,0
amh_test_track_b_00004,1,1,0,0,0,0
amh_test_track_b_00005,0,0,0,2,0,0
amh_test_track_b_00006,2,0,0,0,1,0
amh_test_track_b_00007,0,2,0,0,0,0
amh_test_track_b_00008,0,0,0,0,0,0
amh_test_track_b_00009,0,0,3,0,0,0
amh_test_track_b_00010,2,0,1,0,0,0
amh_test_track_b_00011,0,0,2,0,0,0
amh_test_track_b_00012,0,0,0,0,1,1
amh_test_track_b_00013,0,2,0,0,0,0
amh_test_track_b_00014,2,2,0,0,0,0
amh_test_track_b_00015,0,1,0,0,0,0
amh_test_track_b_00016,0,1,0,0,0,0
amh_test_track_b_00017,0,1,0,0,0,0
amh_test_track_b_00018,1,0,0,0,0,0
amh_test_track_b_00019,0,0,0,0,2,0
amh_test_track_b_00020,0,1,1,0,0,0
amh_test_track_b_00021,0,0,0,1,0,0
amh_test_track_b_00022,2,1,0,0,0,0
amh_test_track_b_00023,0,0,0,0,2,0
amh_test_track_b_00024,0,0,0,0,2,0
amh_test_track_b_00025,0,0,1,0,1,0
amh_test_track_b_00026,1,0,0,0,0,0
amh_test_track_b_00027,1,2,0,0,0,0
amh_test_track_b_00028,0,0,1,0,0,0
amh_test_track_b_00029,0,0,0,0,1,0
amh_test_track_b_00030,0,1,0,0,1,0
amh_test_track_b_00031,0,0,0,2,0,0
amh_test_track_b_00032,0,1,1,0,0,0
amh_test_track_b_00033,0,0,0,0,2,0
amh_test_track_b_00034,0,0,0,1,1,0
amh_test_track_b_00035,0,2,0,0,0,0
amh_test_track_b_00036,0,0,0,1,1,0
amh_test_track_b_00037,1,0,0,0,0,0
amh_test_track_b_00038,0,1,0,0,1,0
amh_test_track_b_00039,0,0,0,0,0,0
amh_test_track_b_00040,1,1,0,0,0,0
amh_test_track_b_00041,0,0,0,2,0,0
amh_test_track_b_00042,0,2,0,0,0,0
amh_test_track_b_00043,0,2,0,0,0,0
amh_test_track_b_00044,2,0,0,0,0,0
amh_test_track_b_00045,0,0,0,0,2,0
amh_test_track_b_00046,1,1,0,0,0,1
amh_test_track_b_00047,0,0,0,0,2,0
amh_test_track_b_00048,0,0,0,0,0,0
amh_test_track_b_00049,0,0,2,0,2,0
amh_test_track_b_00050,0,0,0,0,0,0
amh_test_track_b_00051,1,1,0,0,0,0
amh_test_track_b_00052,0,0,0,2,0,0
amh_test_track_b_00053,0,0,0,0,1,0
amh_test_track_b_00054,1,1,0,0,0,0
amh_test_track_b_00055,0,1,0,0,0,1
amh_test_track_b_00056,0,0,0,0,0,0
amh_test_track_b_00057,1,0,0,0,0,0
amh_test_track_b_00058,1,1,0,0,0,0
amh_test_track_b_00059,0,0,0,1,0,0
amh_test_track_b_00060,0,1,0,0,2,0
amh_test_track_b_00061,1,2,0,0,0,0
amh_test_track_b_00062,0,1,0,0,0,0
amh_test_track_b_00063,1,0,0,0,0,1
amh_test_track_b_00064,0,2,0,0,1,0
amh_test_track_b_00065,0,0,0,1,0,0
amh_test_track_b_00066,0,0,0,0,1,0
amh_test_track_b_00067,2,0,0,0,0,0
amh_test_track_b_00068,0,0,0,0,0,0
amh_test_track_b_00069,1,2,0,0,0,0
amh_test_track_b_00070,0,0,0,0,0,0
amh_test_track_b_00071,0,0,0,2,0,0
amh_test_track_b_00072,0,0,0,0,0,0
amh_test_track_b_00073,0,0,0,0,0,0
amh_test_track_b_00074,0,1,0,0,0,0
amh_test_track_b_00075,0,0,0,0,0,2
amh_test_track_b_00076,1,1,0,0,0,0
amh_test_track_b_00077,2,0,0,0,0,0
amh_test_track_b_00078,1,2,0,0,0,0
amh_test_track_b_00079,0,0,0,2,0,0
amh_test_track_b_00080,1,0,0,0,0,0
amh_test_track_b_00081,0,0,0,1,0,0
amh_test_track_b_00082,1,0,0,0,0,0
amh_test_track_b_00083,0,1,0,0,1,0
amh_test_track_b_00084,1,0,0,0,0,0
amh_test_track_b_00085,0,0,0,0,0,0
amh_test_track_b_00086,0,0,0,0,0,1
amh_test_track_b_00087,0,2,0,0,0,0
amh_test_track_b_00088,2,1,0,0,0,0
amh_test_track_b_00089,1,0,0,0,0,0
amh_test_track_b_00090,0,0,0,0,0,0
amh_test_track_b_00091,0,0,0,1,0,0
amh_test_track_b_00092,1,1,0,0,0,0
amh_test_track_b_00093,0,2,0,0,0,0
amh_test_track_b_00094,0,1,0,0,0,0
amh_test_track_b_00095,0,1,0,0,0,0
amh_test_track_b_00096,0,0,0,2,0,0
amh_test_track_b_00097,0,0,0,0,0,0
amh_test_track_b_00098,0,0,0,0,2,0
amh_test_track_b_00099,1,0,0,0,1,0
amh_test_track_b_00100,0,0,1,0,0,0
amh_test_track_b_00101,1,0,0,0,0,0
amh_test_track_b_00102,0,0,0,2,0,0
amh_test_track_b_00103,0,0,0,0,2,0
amh_test_track_b_00104,1,1,0,0,0,0
amh_test_track_b_00105,1,2,0,0,0,0
amh_test_track_b_00106,0,1,0,0,0,0
amh_test_track_b_00107,0,0,0,2,0,0
amh_test_track_b_00108,0,0,0,0,1,0
amh_test_track_b_00109,0,0,0,2,0,0
amh_test_track_b_00110,0,0,0,0,0,0
amh_test_track_b_00111,0,0,0,0,2,1
amh_test_track_b_00112,0,0,0,0,3,0
amh_test_track_b_00113,1,1,0,0,0,0
amh_test_track_b_00114,1,1,0,0,0,0
amh_test_track_b_00115,1,0,0,0,0,1
amh_test_track_b_00116,0,0,0,0,0,0
amh_test_track_b_00117,0,0,0,2,0,0
amh_test_track_b_00118,1,0,0,0,0,0
amh_test_track_b_00119,1,1,0,0,0,0
amh_test_track_b_00120,1,2,0,0,0,0
amh_test_track_b_00121,0,0,0,0,0,0
amh_test_track_b_00122,0,1,0,0,0,0
amh_test_track_b_00123,0,0,0,0,1,0
amh_test_track_b_00124,1,0,0,0,0,0
amh_test_track_b_00125,0,0,0,0,0,0
amh_test_track_b_00126,0,0,0,2,0,0
amh_test_track_b_00127,0,0,0,0,0,0
amh_test_track_b_00128,1,1,0,0,0,0
amh_test_track_b_00129,0,0,0,1,0,1
amh_test_track_b_00130,0,1,1,0,0,0
amh_test_track_b_00131,0,1,0,0,2,0
amh_test_track_b_00132,0,0,0,0,0,0
amh_test_track_b_00133,0,0,1,0,0,0
amh_test_track_b_00134,1,1,0,0,0,0
amh_test_track_b_00135,1,1,0,0,1,0
amh_test_track_b_00136,0,0,0,0,1,0
amh_test_track_b_00137,0,0,0,0,2,1
amh_test_track_b_00138,0,0,0,0,0,0
amh_test_track_b_00139,0,2,0,0,0,0
amh_test_track_b_00140,0,0,0,0,0,0
amh_test_track_b_00141,0,2,0,0,0,0
amh_test_track_b_00142,0,0,0,1,0,0
amh_test_track_b_00143,0,0,0,2,0,1
amh_test_track_b_00144,1,2,0,0,0,0
amh_test_track_b_00145,1,0,0,1,0,0
amh_test_track_b_00146,0,0,0,0,0,0
amh_test_track_b_00147,0,0,0,0,0,0
amh_test_track_b_00148,2,1,0,0,1,0
amh_test_track_b_00149,2,0,0,0,1,0
amh_test_track_b_00150,0,0,0,0,1,0
amh_test_track_b_00151,1,1,0,0,1,0
amh_test_track_b_00152,0,2,0,0,0,0
amh_test_track_b_00153,0,2,0,0,0,0
amh_test_track_b_00154,0,0,0,0,0,0
amh_test_track_b_00155,1,2,0,0,0,0
amh_test_track_b_00156,0,0,0,0,0,0
amh_test_track_b_00157,0,0,0,0,0,0
amh_test_track_b_00158,1,0,0,0,0,0
amh_test_track_b_00159,1,2,0,0,0,0
amh_test_track_b_00160,0,0,0,1,0,0
amh_test_track_b_00161,1,1,0,0,0,0
amh_test_track_b_00162,1,0,0,0,0,0
amh_test_track_b_00163,0,0,0,2,0,0
amh_test_track_b_00164,1,2,0,0,0,0
amh_test_track_b_00165,0,2,0,0,0,0
amh_test_track_b_00166,0,1,0,0,0,0
amh_test_track_b_00167,0,0,0,0,0,0
amh_test_track_b_00168,0,0,0,1,1,0
amh_test_track_b_00169,1,0,0,0,0,0
amh_test_track_b_00170,0,0,0,1,0,0
amh_test_track_b_00171,1,1,0,0,0,0
amh_test_track_b_00172,0,0,0,0,2,0
amh_test_track_b_00173,0,0,2,0,0,0
amh_test_track_b_00174,0,0,0,0,0,2
amh_test_track_b_00175,0,0,0,0,0,1
amh_test_track_b_00176,0,0,0,2,0,0
amh_test_track_b_00177,0,0,0,0,0,0
amh_test_track_b_00178,0,0,0,0,0,0
amh_test_track_b_00179,1,0,0,0,0,0
amh_test_track_b_00180,1,1,0,0,0,0
amh_test_track_b_00181,0,0,0,0,0,0
amh_test_track_b_00182,2,0,0,0,0,0
amh_test_track_b_00183,0,0,0,0,0,0
amh_test_track_b_00184,0,0,0,2,0,0
amh_test_track_b_00185,0,0,0,3,0,0
amh_test_track_b_00186,1,0,0,0,0,0
amh_test_track_b_00187,0,0,0,0,2,0
amh_test_track_b_00188,0,0,0,0,2,0
amh_test_track_b_00189,0,0,0,0,0,0
amh_test_track_b_00190,0,0,0,1,0,0
amh_test_track_b_00191,0,0,0,0,0,0
amh_test_track_b_00192,0,0,0,0,0,0
amh_test_track_b_00193,0,0,0,0,0,1
amh_test_track_b_00194,1,1,0,0,0,0
amh_test_track_b_00195,1,2,0,0,0,0
amh_test_track_b_00196,1,1,0,0,0,0
amh_test_track_b_00197,0,2,0,0,0,0
amh_test_track_b_00198,0,0,0,3,0,0
amh_test_track_b_00199,1,2,0,0,0,0
amh_test_track_b_00200,0,1,0,0,0,0
amh_test_track_b_00201,0,0,0,0,2,0
amh_test_track_b_00202,0,2,0,0,0,0
amh_test_track_b_00203,0,0,0,0,0,0
amh_test_track_b_00204,0,0,0,0,3,0
amh_test_track_b_00205,0,0,0,0,0,0
amh_test_track_b_00206,1,0,0,0,0,0
amh_test_track_b_00207,0,2,0,0,0,0
amh_test_track_b_00208,1,1,0,0,0,0
amh_test_track_b_00209,0,2,0,0,0,0
amh_test_track_b_00210,0,0,0,0,1,0
amh_test_track_b_00211,1,1,0,0,0,0
amh_test_track_b_00212,2,0,0,0,0,0
amh_test_track_b_00213,1,1,0,0,0,0
amh_test_track_b_00214,0,1,0,0,0,0
amh_test_track_b_00215,0,1,0,0,1,0
amh_test_track_b_00216,0,0,0,0,1,0
amh_test_track_b_00217,2,0,0,0,0,0
amh_test_track_b_00218,0,0,0,2,0,0
amh_test_track_b_00219,0,0,0,2,0,0
amh_test_track_b_00220,1,0,0,0,0,1
amh_test_track_b_00221,0,0,0,2,0,0
amh_test_track_b_00222,1,1,0,0,0,0
amh_test_track_b_00223,1,1,0,0,0,0
amh_test_track_b_00224,1,1,0,0,0,0
amh_test_track_b_00225,0,0,0,0,0,1
amh_test_track_b_00226,1,1,0,0,1,0
amh_test_track_b_00227,0,0,0,0,0,0
amh_test_track_b_00228,0,0,0,0,0,0
amh_test_track_b_00229,1,1,0,0,0,0
amh_test_track_b_00230,0,0,1,0,0,0
amh_test_track_b_00231,1,0,0,0,2,0
amh_test_track_b_00232,0,0,0,0,0,0
amh_test_track_b_00233,1,1,0,0,0,0
amh_test_track_b_00234,0,0,0,2,0,0
amh_test_track_b_00235,2,0,0,0,0,0
amh_test_track_b_00236,1,0,0,0,0,0
amh_test_track_b_00237,2,0,0,0,0,0
amh_test_track_b_00238,0,0,0,1,2,0
amh_test_track_b_00239,0,0,0,0,0,0
amh_test_track_b_00240,1,2,0,0,0,0
amh_test_track_b_00241,1,2,0,0,0,0
amh_test_track_b_00242,1,0,0,0,0,0
amh_test_track_b_00243,0,2,0,0,0,0
amh_test_track_b_00244,0,0,1,0,0,0
amh_test_track_b_00245,0,0,0,2,0,0
amh_test_track_b_00246,2,1,0,0,0,0
amh_test_track_b_00247,0,1,0,0,0,0
amh_test_track_b_00248,0,0,0,0,3,0
amh_test_track_b_00249,0,2,1,0,0,0
amh_test_track_b_00250,0,1,1,0,0,0
amh_test_track_b_00251,0,0,0,0,0,0
amh_test_track_b_00252,0,1,0,0,0,0
amh_test_track_b_00253,0,0,0,0,0,0
amh_test_track_b_00254,0,0,0,2,0,0
amh_test_track_b_00255,1,2,0,0,0,0
amh_test_track_b_00256,2,0,0,0,0,0
amh_test_track_b_00257,0,2,0,0,0,0
amh_test_track_b_00258,0,0,0,0,3,0
amh_test_track_b_00259,1,1,0,0,0,0
amh_test_track_b_00260,0,0,0,0,0,0
amh_test_track_b_00261,0,0,0,0,0,0
amh_test_track_b_00262,1,0,0,0,0,0
amh_test_track_b_00263,1,0,0,0,0,0
amh_test_track_b_00264,0,2,0,0,0,0
amh_test_track_b_00265,0,2,0,0,0,0
amh_test_track_b_00266,0,0,0,0,0,0
amh_test_track_b_00267,0,0,0,0,3,0
amh_test_track_b_00268,0,0,0,0,0,0
amh_test_track_b_00269,1,2,0,0,0,0
amh_test_track_b_00270,0,0,0,0,0,0
amh_test_track_b_00271,0,0,0,1,0,0
