id,anger,disgust,fear,joy,sadness,surprise
chn_test_track_c_00001,0,0,0,0,0,0
chn_test_track_c_00002,0,0,0,1,0,0
chn_test_track_c_00003,1,0,0,0,0,1
chn_test_track_c_00004,1,0,1,0,1,0
chn_test_track_c_00005,1,1,0,0,0,0
chn_test_track_c_00006,0,0,0,0,0,0
chn_test_track_c_00007,0,0,0,0,0,0
chn_test_track_c_00008,0,0,0,1,0,0
chn_test_track_c_00009,0,0,0,0,0,0
chn_test_track_c_00010,1,0,0,0,0,0
chn_test_track_c_00011,0,0,0,1,0,0
chn_test_track_c_00012,1,0,0,0,0,1
chn_test_track_c_00013,1,1,0,0,0,0
chn_test_track_c_00014,0,0,0,0,1,0
chn_test_track_c_00015,1,0,0,0,0,0
chn_test_track_c_00016,0,0,0,1,0,0
chn_test_track_c_00017,1,0,0,0,0,0
chn_test_track_c_00018,0,0,0,1,0,0
chn_test_track_c_00019,1,1,0,0,0,0
chn_test_track_c_00020,0,0,0,1,0,0
chn_test_track_c_00021,1,0,0,0,0,0
chn_test_track_c_00022,0,0,0,0,0,0
chn_test_track_c_00023,0,0,0,1,0,0
chn_test_track_c_00024,0,0,0,1,0,0
chn_test_track_c_00025,0,0,0,1,0,0
chn_test_track_c_00026,1,0,0,0,0,0
chn_test_track_c_00027,1,1,0,0,0,0
chn_test_track_c_00028,0,0,0,0,1,0
chn_test_track_c_00029,1,0,0,0,0,0
chn_test_track_c_00030,1,1,0,0,0,0
chn_test_track_c_00031,0,0,0,1,0,0
chn_test_track_c_00032,1,0,0,0,0,0
chn_test_track_c_00033,1,0,0,0,0,0
chn_test_track_c_00034,0,0,0,1,0,0
chn_test_track_c_00035,0,0,0,0,1,0
chn_test_track_c_00036,0,0,0,0,0,0
chn_test_track_c_00037,0,0,0,1,0,0
chn_test_track_c_00038,0,0,0,0,0,0
chn_test_track_c_00039,1,1,0,0,0,0
chn_test_track_c_00040,1,0,0,0,0,0
chn_test_track_c_00041,0,0,0,0,1,0
chn_test_track_c_00042,0,0,0,0,0,0
chn_test_track_c_00043,1,1,0,0,0,0
chn_test_track_c_00044,0,0,0,1,0,0
chn_test_track_c_00045,0,0,0,0,0,0
chn_test_track_c_00046,0,0,0,0,1,0
chn_test_track_c_00047,1,0,0,0,0,1
chn_test_track_c_00048,0,0,0,0,0,0
chn_test_track_c_00049,1,0,0,0,0,0
chn_test_track_c_00050,0,0,0,0,0,1
chn_test_track_c_00051,1,0,0,0,0,0
